Symbol,Market_Cap,Orgname,State,contrib_id,candi_id
CNHI,20634146260,CNH Industrial,London,CNH%20Industrial--N00042868,N00042868
CNK,2893440084,Cinemark Holdings,Texas,Cinemark%20Holdings--N00035972,N00035972
CNS,3235700450,Cohen,New York,,
COF,58832818761,Capital One Financial,Virginia,Capital%20One%20Financial--N00006897,N00006897
COF^G,0,Capital One Financial,None,Capital%20One%20Financial--N00006897,N00006897
COF^H,0,Capital One Financial,None,Capital%20One%20Financial--N00006897,N00006897
COF^I,0,Capital One Financial,None,Capital%20One%20Financial--N00006897,N00006897
COF^J,0,Capital One Financial,None,Capital%20One%20Financial--N00006897,N00006897
COF^K,0,Capital One Financial,None,Capital%20One%20Financial--N00006897,N00006897
COHN,37863409,Cohen & Co,None,Cohen%20&%20Co--N00041690,N00041690
COKE,2905843590,Coca-Cola Co,North Carolina,Coca-Cola%20Co--N00030788,N00030788
COLM,6904155024,Columbia Sportswear,Oregon,Columbia%20Sportswear--N00007724,N00007724
COP,75506812494,ConocoPhillips,Texas,ConocoPhillips--N00007999,N00007999
CPRT,25610851082,Copart Inc,Texas,Copart%20Inc--N00003105,N00003105
CPT,10655820921,Camden Property Trust,Texas,Camden%20Property%20Trust--N00031545,N00031545
CRH,36398715200,CRH PLC,Dublin,CRH%20PLC--N00035527,N00035527
CRHC,1053630000,Robbins,None,,
CSCO,2.09E+11,Cisco Systems,None,Cisco%20Systems--N00007335,N00007335
CSL,8403770923,Carlisle Companies,Arizona,Carlisle%20Companies--N00025445,N00025445
CSX,69692962301,CSX Corp,Florida,CSX%20Corp--N00030770,N00030770
CTAS,36142910868,Cintas Corp,None,Cintas%20Corp--N00003689,N00003689
CUB,2220799881,Cubic Corp,California,Cubic%20Corp--N00003473,N00003473
CVS,95794477344,CVS Health,Rhode Island,CVS%20Health--N00000575,N00000575
CVX,2.06E+11,Chevron Corp,None,Chevron%20Corp--N00024978,N00024978
CZR,19309400906,Caesars Entertainment,None,Caesars%20Entertainment--N00037247,N00037247
D,59335985511,Dominion Energy,Virginia,Dominion%20Energy--N00001821,N00001821
DAL,31626548717,Delta Air Lines,Georgia,Delta%20Air%20Lines--N00001024,N00001024
DCUE,0,Dominion Energy,Virginia,Dominion%20Energy--N00001821,N00001821
DE,1.18E+11,Deere & Co,Illinois,Deere%20&%20Co--N00004961,N00004961
DELL,67144982050,Dell Technologies,Texas,Dell%20Technologies--N00006561,N00006561
DFS,29893448518,Discover Financial Services,Illinois,Discover%20Financial%20Services--N00033101,N00033101
DHR,1.53E+11,Danaher Corp,Washington Dc,Danaher%20Corp--N00027500,N00027500
DHR^A,0,Danaher Corp,None,Danaher%20Corp--N00027500,N00027500
DHR^B,0,Danaher Corp,None,Danaher%20Corp--N00027500,N00027500
DIS,3.49E+11,Walt Disney Co,None,Walt%20Disney%20Co--N00000362,N00000362
DISCA,35034455279,Discovery Inc,Maryland,Discovery%20Inc--N00041843,N00041843
DISCB,39444829743,Discovery Inc,Maryland,Discovery%20Inc--N00041843,N00041843
DISCK,29600679004,Discovery Inc,Maryland,Discovery%20Inc--N00041843,N00041843
DISH,19915540178,DISH Network,Colorado,DISH%20Network--N00000781,N00000781
DOW,48312927544,Dow Inc,Michigan,Dow%20Inc--N00036275,N00036275
DRUA,0,Dominion Energy,Virginia,Dominion%20Energy--N00001821,N00001821
DTB,0,DTE Energy,Michigan,DTE%20Energy--N00026368,N00026368
DTE,25213832152,DTE Energy,Michigan,DTE%20Energy--N00026368,N00026368
DTJ,0,DTE Energy,Michigan,DTE%20Energy--N00026368,N00026368
DTP,0,DTE Energy,Michigan,DTE%20Energy--N00026368,N00026368
DTW,0,DTE Energy,Michigan,DTE%20Energy--N00026368,N00026368
DTY,0,DTE Energy,Michigan,DTE%20Energy--N00026368,N00026368
DUK,71401159946,Duke Energy,North Carolina,Duke%20Energy--N00030752,N00030752
DUK^A,0,Duke Energy,None,Duke%20Energy--N00030752,N00030752
DUKB,0,Duke Energy,North Carolina,Duke%20Energy--N00030752,N00030752
DUKH,0,Duke Energy,North Carolina,Duke%20Energy--N00030752,N00030752
DVA,11714412000,DaVita Inc,Colorado,DaVita%20Inc--N00001821,N00001821
DVN,15619285500,Devon Energy,Oklahoma,Devon%20Energy--N00025726,N00025726
EAD,506076646,Wells Fargo,None,Wells%20Fargo--N00008046,N00008046
EBAY,38907888957,eBay Inc,California,eBay%20Inc--N00004291,N00004291
EBS,4859361000,Emergent Biosolutions,Maryland,Emergent%20Biosolutions--N00025482,N00025482
ECL,60019915261,Ecolab Inc,Minnesota,Ecolab%20Inc--N00027500,N00027500
ECPG,1269495545,Capital Group,California,Capital%20Group--N00000153,N00000153
EDD,393578604,Morgan Stanley,New York,Morgan%20Stanley--N00000751,N00000751
EHTH,1605875822,eHealth Inc,California,eHealth%20Inc--N00012508,N00012508
EIX,22733342488,Edison International,California,Edison%20International--N00006789,N00006789
EL,1.05E+11,Estee Lauder Companies,New York,Estee%20Lauder%20Companies--N00000078,N00000078
EMR,53486644962,Emerson Electric,Missouri,Emerson%20Electric--N00033106,N00033106
EOD,227414216,Wells Fargo,California,Wells%20Fargo--N00008046,N00008046
